

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
241       1       3142.    0.9268    1.5197    -5.3364     0.4692    0.6358    0.3077
242       1       2380.    1.6494    1.9137    -5.2261     0.4549    0.6510   -0.0168
243       1       472.     1.5763    1.9147    -5.3996    -0.0054    0.2592   -0.0696
244       1       288.     1.3312    1.6144    -5.2641    -0.0578    0.2377   -0.2848
245       1       2362.    1.4348    1.6564    -5.6938    -0.1748    0.1501    0.5256
246       1       3103.    1.5879    1.7310    -5.7156    -0.1676    0.1048   -0.2111
247       1       1279.    1.0757    1.5770    -5.7361     0.0289    0.2775    0.0806
248       1       2047.    1.0872    1.6137    -5.6216     0.1113    0.3803    0.3253
249       1       2484.    0.6513    1.0566    -5.5919     0.3430    0.5492    0.1906
250       1       2725.    0.5138    1.0542    -5.6700     0.4111    0.4981   -0.2890
251       1       2143.    1.0663    1.3478    -5.3664     0.3564    0.5416   -0.1096
252       1       1558.    1.0366    1.4407    -5.8623     0.1563    0.4228   -0.4112
253       1       1456.    1.2455    1.6801    -5.5538     0.0005    0.3437   -0.2733
254       1       1611.    1.4670    1.5473    -6.4471     0.3448    0.5446   -0.0026
255       1       2069.    1.4847    1.6847    -6.4114     0.3816    0.6560   -0.3179
256       1       825.     1.3478    1.8744    -5.4578     0.0924    0.4093   -0.3862
257       1       1885.    1.3972    1.7898    -5.4693     0.2431    0.3669   -0.1198
258       1       2321.    0.5051    0.9235    -5.0195     0.3178    0.5437    0.8774
259       1       3164.    0.4594    0.8744    -5.1755     0.3193    0.6183   -0.1427
260       1       2477.    0.8781    1.2006    -5.6142     0.2766    0.3786    0.1159
261       1       2855.    1.1200    1.6283    -3.9506     0.6668    0.8129    0.9790
262       1       1244.    1.3552    1.7580    -5.5053    -0.2884    0.1212   -0.0670
263       1       1590.    1.4856    1.8420    -5.5092    -0.1928    0.1658   -0.2388
264       1       143.     0.8274    1.7060    -3.5348     0.5348    0.7787    1.6773
265       1       2798.    0.9554    1.6915    -3.6360     0.5840    0.6990    1.3756
266       1       148.     1.0157    1.6000    -5.6782    -0.1929    0.1040    0.1474
267       1       2998.    0.9880    1.5193    -5.5311    -0.1122    0.1282    0.0856
268       1       235.     1.0130    1.4221    -5.5283     0.4248    0.6550   -0.2581
269       1       1642.    1.4526    1.9184    -5.6302     0.3755    0.5063   -0.2984
270       1       2405.    1.3995    1.8063    -5.7051     0.4077    0.6255   -0.0458
271       1       2890.    1.3791    1.7125    -4.3173     0.5095    0.7210    0.3659
272       1       1390.    0.8631    1.2487    -5.4169     0.1510    0.2730   -0.4634
273       1       2298.    1.5008    1.8452    -5.3313     0.2155    0.4776   -0.2692
274       1       2441.    1.4000    1.7664    -5.2703     0.0942    0.4344   -0.4157
275       1       1152.    2.2071    2.4391    -5.4799     0.1576    0.4341   -0.5452
276       1       2244.    2.3613    2.4180    -5.4946     0.2681    0.4589   -0.3242
277       1       2123.    0.9300    1.3415    -5.1963     0.0015    0.2507    0.3269
278       1       2665.    1.0184    1.4856    -5.2073    -0.0744    0.1960    0.2980
279       1       2344.    1.1346    1.4986    -5.0806     0.2271    0.5055   -0.3420
280       1       160.     0.9235    1.2311    -5.3137     0.3535    0.5620    0.4771
281       1       2993.    1.2471    1.6513    -4.1889     0.5100    0.7279    0.5080
282       1       2438.    0.6983    1.2648    -5.6415    -0.0928    0.1592    0.4544
283       1       3159.    1.1446    1.2610    -6.0448    -0.0928    0.2709    0.0195
284       1       1123.    1.2375    1.5069    -5.9140     0.3576    0.6150   -0.3188
285       1       1626.    1.3685    1.4820    -5.8733     0.2614    0.5164    0.4214
286       1       3071.    1.4221    1.8533    -4.3838     0.1438    0.3820   -0.0297
287       1       404.     1.4708    2.0913    -5.2823     0.0409    0.2765    0.0026
288       1       1656.    1.4536    2.2619    -5.3812     0.0299    0.2755    0.1578
289       1       686.     0.6983    1.0467    -5.6484     0.1682    0.5149   -0.0315
290       1       676.     1.2656    1.8911    -4.3778     0.4910    0.7254    0.6231
291       1       2889.    1.3140    1.8803    -4.1869     0.5090    0.7001    0.7725
292       1       121.     1.6870    1.8751    -4.7647    -0.0315    0.2578    0.1749
293       1       2149.    1.6915    1.9038    -4.8557    -0.1649    0.1419    0.1443
294       1       2070.    1.3720    1.7422    -5.8425     0.3202    0.5193   -0.1931
295       1       2472.    1.2391    1.6201    -5.7607     0.3524    0.5291   -0.4134
296       1       2188.    1.7076    1.8714    -5.3409     0.1006    0.3811   -0.0747
297       1       2345.    1.7221    1.9492    -5.2568     0.2522    0.4467    0.3955
298       1       1652.    1.3791    1.8307    -4.6057     0.1560    0.3499    0.6111
299       1       678.     1.3127    1.7315    -3.6002     0.4776    0.7169    0.7907
300       1       2533.    1.4147    1.8710    -3.6947     0.5223    0.6834    0.9503
301       1       2324.    1.4386    1.9671    -5.0589     0.1668    0.3275   -0.0835
